clip_id,group,variant,s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,teacher_w,teacher_h,crop_x0,crop_x1
08_000000_000020_s5,08,G51-A,23.97878879775108,1,312036,0.040409302979727446,0.017436715968964175,nan,81.8461284907647,86.95299530029297,518,154,0,518
08_000025_000045_s5,08,G51-A,18.582136140046288,1,272001,0.038743003339576365,0.01984696125524223,nan,81.8461284907647,86.57510375976562,518,154,0,518
08_000050_000070_s5,08,G51-A,21.09173693254476,1,268029,0.037505440342973984,0.022103485537007427,nan,81.8461284907647,86.61341094970703,518,154,0,518
08_000075_000095_s5,08,G51-A,26.351226569252372,1,268609,0.05618945524042829,0.03202036045158896,nan,81.8461284907647,89.46905517578125,518,154,0,518
08_000100_000120_s5,08,G51-A,28.464897495872318,1,295532,0.040786914393066365,0.04287505052902031,nan,81.8461284907647,90.4554443359375,518,154,0,518
08_000125_000145_s5,08,G51-A,24.756134285878566,1,333519,0.05592541117262462,0.019031421013204788,nan,81.8461284907647,94.50621795654297,518,154,0,518
08_000150_000170_s5,08,G51-A,24.10134211467702,1,314103,0.04541798810321529,0.03448333036957932,nan,81.8461284907647,93.91056060791016,518,154,0,518
08_000175_000195_s5,08,G51-A,26.24963296979866,1,328426,0.04582075409288411,0.02697852197083498,nan,81.8461284907647,95.68807220458984,518,154,0,518
08_000200_000220_s5,08,G51-A,25.71278701351016,1,301755,0.040435539292160705,0.015370149089157778,nan,81.8461284907647,94.63137817382812,518,154,0,518
08_000225_000245_s5,08,G51-A,27.363484700520836,1,301150,0.04999548131546905,0.0354057230316636,nan,81.8461284907647,89.94935607910156,518,154,0,518
08_000250_000270_s5,08,G51-A,21.194291151727214,1,304640,0.062560267598466,0.0460491377025344,nan,81.8461284907647,91.84413146972656,518,154,0,518
08_000275_000295_s5,08,G51-A,24.733310111464963,1,307744,0.049614446272275625,0.03813460024222907,nan,81.8461284907647,94.22190856933594,518,154,0,518
08_000300_000320_s5,08,G51-A,27.62511212198872,1,311279,0.03532046397776423,0.0196351941890564,nan,81.8461284907647,92.37397766113281,518,154,0,518
08_000325_000345_s5,08,G51-A,26.602232760608867,1,322081,0.04327388295859347,0.020049124700849817,nan,81.8461284907647,91.7975082397461,518,154,0,518
