clip_id,group,variant,s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,fov_supplied_deg,fov_calibrated_deg,fov_moge_out_deg,teacher_w,teacher_h,crop_x0,crop_x1
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,G51-A,15.677017357791586,1,319256,0.040234546224764633,0.023535435780693656,nan,64.5614792846793,64.70573425292969,518,294,0,518
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,G51-A,18.896928911924938,1,331440,0.026530569668640647,0.019027257770598202,nan,64.5614792846793,65.33016204833984,518,294,0,518
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,G51-A,17.648543483527135,1,341484,0.037826581934882864,0.03570080157288545,nan,64.5614792846793,66.24539947509766,518,294,0,518
scene-0003_CAM_FRONT_1ac0914c_e617edf7,scene-0003,G51-A,17.552068500813668,1,306797,0.022815738327863766,0.024958036226555253,nan,64.5614792846793,64.57262420654297,518,294,0,518
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,scene-0003,G51-A,18.17991471430669,1,315576,0.03609838680231814,0.023708136439300764,nan,64.5614792846793,66.73954010009766,518,294,0,518
scene-0003_CAM_FRONT_c1ab33c3_57a79294,scene-0003,G51-A,20.042294617755193,1,332498,0.03198701699493278,0.021205794855211464,nan,64.5614792846793,65.59388732910156,518,294,0,518
scene-0003_CAM_FRONT_3be45164_1b5a6659,scene-0003,G51-A,23.54104146975426,1,353881,0.031275337056900554,0.0237970297452699,nan,64.5614792846793,67.32171630859375,518,294,0,518
scene-0003_CAM_FRONT_b214d0d4_20684b77,scene-0003,G51-A,20.900799885991574,1,508608,0.04069345109214506,0.03138099653082391,nan,64.5614792846793,69.49299621582031,518,294,0,518
scene-0012_CAM_FRONT_88a090c5_20a871df,scene-0012,G51-A,18.63840588521401,1,571786,0.05477158794469261,0.041847267205525486,nan,64.5614792846793,72.14606475830078,518,294,0,518
scene-0012_CAM_FRONT_c51b9abd_745713b3,scene-0012,G51-A,21.11726895734598,1,539847,0.06532466504270307,0.04932614339950715,nan,64.5614792846793,72.23704528808594,518,294,0,518
scene-0012_CAM_FRONT_d34f2eec_5254163f,scene-0012,G51-A,20.72015253244413,1,505107,0.04156548144108774,0.02008139750289497,nan,64.5614792846793,68.84625244140625,518,294,0,518
scene-0012_CAM_FRONT_62697033_a2d86049,scene-0012,G51-A,20.820342478894855,1,448556,0.05682144288108382,0.03474106765454853,nan,64.5614792846793,74.19699096679688,518,294,0,518
scene-0012_CAM_FRONT_114d8a1f_b76ef036,scene-0012,G51-A,22.875659890776692,1,480835,0.06370447456410844,0.0517438270726877,nan,64.5614792846793,73.6856918334961,518,294,0,518
scene-0012_CAM_FRONT_5e8e7172_56a8812e,scene-0012,G51-A,23.863700851999038,1,361157,0.047584424192522956,0.053301671652767224,nan,64.5614792846793,68.91172790527344,518,294,0,518
scene-0012_CAM_FRONT_2e8bed7f_45a4f3c2,scene-0012,G51-A,24.142269514339834,1,481180,0.05511217201898888,0.031095320525389433,nan,64.5614792846793,64.69154357910156,518,294,0,518
scene-0012_CAM_FRONT_ba3778e1_feedde26,scene-0012,G51-A,20.675089178054666,1,390931,0.04994887069353293,0.052850887220079946,nan,64.5614792846793,69.33524322509766,518,294,0,518
scene-0013_CAM_FRONT_b9c60cfa_31815eed,scene-0013,G51-A,19.62865284577724,1,376103,0.03721872948224636,0.03393279160420121,nan,64.5614792846793,70.86769104003906,518,294,0,518
scene-0013_CAM_FRONT_b2329c1f_e30a3a96,scene-0013,G51-A,20.514672372855394,1,354197,0.05203729580508609,0.0398961725388596,nan,64.5614792846793,72.24880981445312,518,294,0,518
scene-0013_CAM_FRONT_61361625_a32eb5c0,scene-0013,G51-A,18.137944703461024,1,391978,0.03716981670959596,0.02631995706680039,nan,64.5614792846793,71.63436889648438,518,294,0,518
scene-0013_CAM_FRONT_4635c393_6b506fcb,scene-0013,G51-A,17.721239948830412,1,412908,0.04007736122471006,0.01510474902856122,nan,64.5614792846793,72.34001159667969,518,294,0,518
scene-0013_CAM_FRONT_da5566fe_9a7dc9c8,scene-0013,G51-A,19.78295410620837,1,439392,0.05654718760329458,0.03620188640808607,nan,64.5614792846793,71.0877685546875,518,294,0,518
scene-0013_CAM_FRONT_7184209f_867689f9,scene-0013,G51-A,20.747120456915923,1,382416,0.03924161964541395,0.0185455464974442,nan,64.5614792846793,70.91146087646484,518,294,0,518
scene-0013_CAM_FRONT_2c1f8867_d82980cf,scene-0013,G51-A,22.992683319039454,1,386636,0.04135418182167383,0.04308781427304671,nan,64.5614792846793,72.4783706665039,518,294,0,518
scene-0013_CAM_FRONT_1f0a495a_51f7ea7d,scene-0013,G51-A,21.33384288082147,1,369603,0.03215004127561105,0.02525487099736807,nan,64.5614792846793,69.6431884765625,518,294,0,518
scene-0014_CAM_FRONT_43cfc03b_3fa89fab,scene-0014,G51-A,10.113368622575216,1,327298,0.02203516088959745,0.007659448138231948,nan,64.5614792846793,64.60010528564453,518,294,0,518
scene-0014_CAM_FRONT_96237b21_2da9ed79,scene-0014,G51-A,11.456487157165423,1,301530,0.04600467891134019,0.027557449091454637,nan,64.5614792846793,65.08440399169922,518,294,0,518
scene-0014_CAM_FRONT_d703cae6_6a53a53e,scene-0014,G51-A,16.167876742322598,1,307280,0.043238294676132494,0.04058853630741885,nan,64.5614792846793,66.92327880859375,518,294,0,518
scene-0014_CAM_FRONT_65e61ba2_907c55da,scene-0014,G51-A,19.629240724822544,1,368256,0.034883559099064376,0.029466807097370946,nan,64.5614792846793,70.44235229492188,518,294,0,518
scene-0014_CAM_FRONT_23e22334_ce60545b,scene-0014,G51-A,24.92031767384106,1,403868,0.05204465856762264,0.06105800807525385,nan,64.5614792846793,67.99683380126953,518,294,0,518
scene-0014_CAM_FRONT_e8953eb6_303119a4,scene-0014,G51-A,22.14272877438747,1,609742,0.06846630286570154,0.03838462815988196,nan,64.5614792846793,70.58104705810547,518,294,0,518
