clip_id,sequence,split,n_lidar_px,n_pose_pairs,s_depth,s_pose,s_joint,s_depth_uniform_w,log_s_depth,log_s_pose,log_s_joint,depth_mad_log,pose_mad_log,per_frame_log_s_std,per_frame_s_min,per_frame_s_max,agreement_error_log,gt_motion_m,reliable,flags
00_000000_000020_s5,00,train,89481,4,25.63440860215054,25.779692562263808,25.706947947566466,25.52234993614304,3.2439355350319845,3.2495870720040836,3.246761303518034,0.030996240936769226,0.029317652878895206,0.0131150554173075,25.012658227848092,26.028837998303647,0.0056515369720990805,16.070255720361178,1,
00_000025_000045_s5,00,train,88747,4,26.78097229482488,25.840387791515283,26.30647657007875,26.813953488372103,3.2876916463561883,3.2519386862133732,3.269815166284781,0.03475419114473377,0.012968158112454109,0.030832831803371607,26.057581573896357,28.192982456140342,0.03575296014281504,19.511842478001874,1,
00_000050_000070_s5,00,train,89510,4,26.584837545126355,27.326502376916824,26.9531190470944,26.565771962847762,3.28034103616563,3.3078570143230475,3.2940990252443387,0.03243337861676787,0.022492091053808005,0.015521117223972756,26.00860832137734,27.250400427122262,0.027515978157417464,18.929166917772758,1,
00_000075_000095_s5,00,train,91603,4,26.93577981651376,27.335700084006334,27.135003198692484,26.95702005730659,3.2934555075052625,3.308193543286837,3.3008245253960498,0.030860829820935187,0.016954380304688543,0.011260896392909975,26.58486707566462,27.412082957619482,0.01473803578157451,12.350333644549792,1,
00_000100_000120_s5,00,train,90741,4,19.07054760730143,19.733597060874995,19.39923973285346,18.994652406417114,2.9481451348424867,2.9823226177039133,2.9652338762732002,0.02673809808127725,0.018006841496892356,0.01861264218370466,18.430379746835445,19.389830508474578,0.03417748286142652,7.838741578102158,1,
00_000125_000145_s5,00,train,89299,4,20.52892561983471,20.65412441990671,20.59142986679353,20.488334237656,3.0218348974566283,3.02791502924127,3.024874963348949,0.03237223691623248,0.011575406897183615,0.01489460173596767,19.891891891891895,20.738750839489597,0.006080131784641729,11.530198649604843,1,
00_000150_000170_s5,00,train,90336,4,23.760479041916174,23.7837347523696,23.772104053326274,23.75507846118213,3.1680236559880086,3.1690019332778063,3.1685127946329077,0.02577853132807606,0.013486746624093104,0.009136353721133379,23.388973191704604,23.965957446808513,0.0009782772897977132,16.18327411931861,1,
00_000175_000195_s5,00,train,92217,4,24.51402714932126,24.578373460688482,24.546179220022708,24.544451256897613,3.199245490421063,3.201866928664715,3.200556209542889,0.03099721072441053,0.013154823228863632,0.009729751827931796,24.32702867602196,24.971859986273163,0.002621438243651575,12.74154408879546,1,
00_000200_000220_s5,00,train,93374,4,19.394940629839958,19.70753096132238,19.550611063482908,19.519999999999992,2.9650122397807723,2.9810008449933094,2.973006542387041,0.04364548441028315,0.022625685811859864,0.019494607809147885,18.948640483383688,19.93261868300154,0.015988605212537088,9.5454570686624,1,
00_000225_000245_s5,00,train,86382,4,22.50331125827814,22.188947862337834,22.345576748875683,22.506798516687265,3.1136624654169527,3.0995943208739085,3.1066283931454306,0.022639570250770902,0.021953888276114775,0.005570219654097897,22.329927007299272,22.716162193032556,0.01406814454304417,13.56660936034566,1,
00_000250_000270_s5,00,train,90946,4,25.38431626701231,25.164232993891794,25.27403507423647,25.310600444773904,3.234131513508837,3.225423660681442,3.2297775870951395,0.029035073076278506,0.004257257810491355,0.00848817041133402,25.098966026587888,25.630094043887137,0.008707852827394724,17.023602945752206,1,
00_000275_000295_s5,00,train,85706,4,24.83778234086242,24.581049810882256,24.709082640045352,24.73929376408715,3.2123659753367244,3.201975813188507,3.2071708942626156,0.040567132054417865,0.015276528099723796,0.016266359074675985,24.047986289631535,25.12110726643598,0.010390162148217197,16.157868599699995,1,
00_000300_000320_s5,00,train,90061,4,23.571878279118575,23.776934686774663,23.67418446931604,23.527963057978447,3.1600544031713356,3.1687159799587525,3.164385191565044,0.029450172536377384,0.023584501228933075,0.01095603542133681,23.247863247863247,24.038688876947877,0.008661576787416969,16.535724028613863,1,
00_000325_000345_s5,00,train,88681,4,22.879712746858175,22.394852305866813,22.635984356032473,22.677988242978447,3.1302506116626008,3.1088311246773386,3.1195408681699694,0.033083541692878526,0.04268484515020177,0.016044905249795127,22.409221902017293,23.450271247739607,0.021419486985262193,16.862139684540175,1,
00_000350_000370_s5,00,train,91493,4,23.056542810985462,22.531291248057833,22.792404025192862,22.88461538461538,3.1379495821351946,3.1149050651879167,3.126427323661556,0.03704947821779392,0.011053883735129055,0.012769621218944822,22.578796561604577,23.388167388167393,0.023044516947277938,13.245397394320854,1,
00_000375_000395_s5,00,train,91580,4,23.659842519685046,24.00352862804808,23.83106601174965,23.50710900473935,3.163779202555353,3.178200845709328,3.1709900241323403,0.02877880566802382,0.019039575359001804,0.014719647261881477,23.207667731629396,24.267997148966504,0.014421643153974983,13.806271851235026,1,
00_000400_000420_s5,00,train,94299,4,22.466720128307937,22.704099986646895,22.585098188077815,22.554399243140967,3.1120351088455966,3.1225455243300693,3.117290316587833,0.046819190995259774,0.025009937742820787,0.021889354414439892,21.913043478260875,23.345543345543337,0.010510415484472624,9.977326783807676,1,
00_000425_000445_s5,00,train,86004,4,21.665573770491804,20.993136555024407,21.326705059781023,21.638913156993667,3.0757245385934024,3.044195553589502,3.0599600460914522,0.03499116041089945,0.012160115509869396,0.018526902947524924,21.095541401273884,22.186985789080033,0.031528985003900445,9.765420540069002,1,
00_000450_000470_s5,00,train,89427,4,24.831683168316836,24.017788902176456,24.421345671816738,24.628516003879728,3.212120384911552,3.1787947600490822,3.195457572480317,0.027298339217467493,0.014885406422836978,0.01288338466842604,24.414048059149728,25.18836140888208,0.033325624862469816,17.054866751310826,1,
00_000475_000495_s5,00,train,87072,4,24.823418319169026,25.186076683838298,25.004090012267742,24.738562375873855,3.211787494675643,3.2262913292799764,3.2190394119778096,0.04291241711502991,0.04686445618926238,0.02610022757005884,24.15094339622642,25.845438698431142,0.014503834604333576,16.519066692345326,1,
00_000500_000520_s5,00,train,89316,4,24.194546794399415,24.214381261412846,24.204461996224616,24.01955990220048,3.1861272686955724,3.186946723656462,3.1865369961760175,0.02851321114547911,0.033005047273597876,0.007787389168744529,23.89526686807654,24.40481927710844,0.0008194549608897539,12.302055318458226,1,
00_000525_000545_s5,00,train,92582,2,20.81467889908257,21.85074996686743,21.326423616361105,20.905109489051096,3.0356584541086646,3.084235244378991,3.0599468492438278,0.021475195858315255,0.10995205445468281,0.009809167997816257,20.554865424430638,21.121951219512198,0.04857679027032624,3.0351900311409543,1,
00_000550_000570_s5,00,train,91821,2,19.80087336244542,19.782026361368395,19.7914476184541,19.83429470372313,2.9857260459421218,2.984773765910452,2.985249905926287,0.02255673420691373,0.045357273640503015,0.004233217338822366,19.633741888969002,19.877405559515328,0.0009522800316696944,1.8351690004497208,1,
00_000575_000595_s5,00,train,87100,4,21.89365791159513,23.70511135506522,22.781387112378983,21.87717265353419,3.0861970018044347,3.165690693877966,3.1259438478412003,0.02215119592188519,0.030270486494183402,0.009289487286857055,21.718343195266264,22.26531699520511,0.07949369207353119,8.214573029539254,1,
00_000600_000620_s5,00,train,89487,4,24.701469842878872,25.889224212223763,25.288374624197875,24.52026390197926,3.2068627496722732,3.2538268285490926,3.230344789110683,0.03715579649282885,0.042571001098100414,0.03951514159356402,22.743902439024396,25.580909768829226,0.046964078876819304,15.747331610997719,1,
00_000625_000645_s5,00,train,85627,4,26.700209643605874,26.42286315730404,26.56117440333405,26.635201573254673,3.284671417195823,3.2742296640515556,3.2794505406236896,0.032836374341503216,0.011793639370724973,0.006391340110974566,26.393861892583125,26.86143071535767,0.01044175314426754,20.803807678460206,1,
00_000650_000670_s5,00,train,85137,4,25.700504767246215,27.223346794854677,26.450968868484935,25.830290010741134,3.246510632457177,3.304074943186635,3.275292787821906,0.02821818536273568,0.023291511578200863,0.014280709572330094,25.335058214747736,26.157894736842113,0.05756431072945789,20.61680222953175,1,
00_000675_000695_s5,00,train,86753,4,27.832004253056883,27.715311959447355,27.77359682018405,27.961013645224174,3.3261865906613886,3.3219850387870364,3.3240858147242127,0.030803529507895888,0.03138204723741844,0.012657507086512712,27.183765501691095,28.164102564102567,0.004201551874352116,20.961311976474853,1,
00_000700_000720_s5,00,train,90981,4,27.069020866773666,27.30635709198318,27.1874299984104,27.346434587310505,3.2983899325536354,3.3071195355953176,3.3027547340744765,0.03564890979265245,0.015181304653520744,0.013842699105289739,26.67208121827411,27.646491697911088,0.008729603041682132,15.022022745692677,1,
00_000725_000745_s5,00,train,95002,4,24.39815289892252,26.450761601169795,25.403734486061087,24.093517534537728,3.19450742856987,3.2752849518848466,3.2348961902273583,0.04158614420090778,0.04730464145837021,0.026055982856537693,23.656697009102736,25.280270956816253,0.08077752331497656,8.753980851292102,1,
00_000750_000770_s5,00,train,89097,4,20.809580838323356,20.848534131605472,20.82904837893915,20.827324478178365,3.0354134978828067,3.037283640334681,3.0363485691087435,0.026021441294128866,0.002779522245965893,0.008890564099857123,20.60305899490168,21.093996361431174,0.0018701424518741128,13.07495127102801,1,
00_000775_000795_s5,00,train,89136,4,25.024610748367657,24.42429075194013,24.722628680467167,24.94348747625887,3.2198597705695287,3.19557815971564,3.2077189651425844,0.030167897772439778,0.02299159503627357,0.006886991429500171,24.713326941514858,25.23599320882853,0.02428161085388858,18.198875853475794,1,
00_000800_000820_s5,00,train,90895,4,26.613154960981053,26.38470218497201,26.498682379469283,26.507462686567152,3.2814056409446914,3.2727843795084266,3.2770950102265592,0.025735363168584158,0.03100349928673607,0.0119804985925839,26.169562927856763,26.946070878274277,0.008621261436264849,17.64282010321795,1,
00_000825_000845_s5,00,train,94945,4,24.95529145444256,26.522583725547516,25.727005402803748,24.730566037735837,3.217085882053634,3.27799658612065,3.247541234087142,0.034170593419443396,0.008221484405285029,0.023178235158341852,24.064,25.53274050121262,0.06091070406701604,12.39374446613151,1,
00_000850_000870_s5,00,train,90197,4,24.567195767195766,24.256995919913415,24.411603132293088,24.418884120171672,3.2014120476302264,3.18870506732063,3.195058557475428,0.029184890722486756,0.03424659397722918,0.015145219569557458,24.16326530612245,25.12649164677804,0.012706980309596272,15.498631454457048,1,
00_000875_000895_s5,00,train,90658,4,24.707182320441987,25.678850605440175,25.188331498692058,24.58076849681841,3.2070939835691092,3.245667719464942,3.2263808515170256,0.039254570422972535,0.04023523849038546,0.02811421719623828,23.33907056798623,25.25670498084291,0.038573735895832684,19.737354474394884,1,
00_000900_000920_s5,00,train,85458,4,25.72910662824208,25.27233050994499,25.499695810627827,25.616482573783212,3.247622904674233,3.229710141522251,3.2386665230982423,0.05142223233631005,0.013176246820520987,0.043131848650518785,24.16161616161616,27.147792706333977,0.01791276315198198,18.39575690714098,1,
00_000925_000945_s5,00,train,89716,4,23.93656387665198,24.214092449595213,24.074928258146315,23.601032119499088,3.175407159195571,3.1869347963006938,3.181170977748132,0.03446178520575849,0.011784242884647744,0.02135639666649245,22.908446544595396,24.29965947786606,0.011527637105122945,11.898936754599557,1,
00_000950_000970_s5,00,train,94974,4,21.37846153846154,22.010694495887165,21.692274793463937,21.435498713866078,3.062383945031258,3.0915284486928662,3.0769561968620622,0.03970523448233276,0.03942958571134092,0.01232070594879742,20.987740805604208,21.799851742031144,0.029144503661608034,11.693546433808047,1,
00_000975_000995_s5,00,train,89678,4,24.29368575624082,23.74486564624485,24.01770814074545,24.235827664399093,3.190216471158643,3.1673663237936625,3.178791397476153,0.028905203719512107,0.02611108919569194,0.008727294585130121,24.000000000000004,24.63138347260909,0.0228501473649807,17.479207612753456,1,
00_001000_001020_s5,00,train,88335,4,26.181818181818183,26.826510287632814,26.50220396124589,26.127288578901478,3.2650652073375754,3.28939058842799,3.2772278978827827,0.03534062176708863,0.035975685401911095,0.021326913117365575,25.195789473684204,26.93654618473897,0.02432538109041449,18.896691580479104,1,
00_001025_001045_s5,00,train,80517,4,25.952208544532944,26.988946148390532,26.465501295841737,26.215827338129493,3.2562567136795746,3.2954273802650245,3.2758420469722997,0.04041897394298877,0.034514140291306505,0.027622994744343387,24.424079065588494,26.57448559670782,0.039170666585449876,18.707261355820165,1,
00_001050_001070_s5,00,train,89193,4,28.454355400696862,29.372775135946554,28.909918416055334,28.38171611868485,3.3483012385107402,3.380068229543017,3.3641847340268787,0.036988087366912836,0.01767144120016617,0.010513949707119708,27.817427385892124,28.649706457925635,0.03176699103227687,19.759628146533636,1,
