clip_id,group,s_moge,log_s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,per_frame_scale_ratio_max_min,fov_x_deg_median,fov_x_deg_std
scene-0003_CAM_FRONT_fd842039_f56a5440,scene-0003,15.677017357791586,2.752195777299635,1,319256,0.040234546224764633,0.023535435780693656,1.0733730785063638,64.70573425292969,0.7855411736557328
scene-0003_CAM_FRONT_f286cdae_21b99feb,scene-0003,18.896928911924938,2.9389994174298906,1,331440,0.026530569668640647,0.019027257770598202,1.0601215930690226,65.33016204833984,0.43327275380163505
scene-0003_CAM_FRONT_cd908fdc_6180726f,scene-0003,17.648543483527135,2.8706532577943977,1,341484,0.037826581934882864,0.03570080157288545,1.1006032607698732,66.24539947509766,1.1895787718011086
scene-0003_CAM_FRONT_1ac0914c_e617edf7,scene-0003,17.552068500813668,2.8651718062607685,1,306797,0.022815738327863766,0.024958036226555253,1.0703258116216976,64.57262420654297,0.861937924740648
scene-0003_CAM_FRONT_7c0aa537_5e4e25f8,scene-0003,18.17991471430669,2.900317397556079,1,315576,0.03609838680231814,0.023708136439300764,1.0707679797956702,66.73954010009766,1.3373163096448828
scene-0003_CAM_FRONT_c1ab33c3_57a79294,scene-0003,20.042294617755193,2.9978447715458154,1,332498,0.03198701699493278,0.021205794855211464,1.0605321143286528,65.59388732910156,0.6302402801247073
scene-0003_CAM_FRONT_3be45164_1b5a6659,scene-0003,23.54104146975426,3.1587453434088637,1,353881,0.031275337056900554,0.0237970297452699,1.0683555792382924,67.32171630859375,2.0157747908486727
scene-0003_CAM_FRONT_b214d0d4_20684b77,scene-0003,20.900799885991574,3.039787430295422,1,508608,0.04069345109214506,0.03138099653082391,1.0856341416429702,69.49299621582031,1.51085863055645
scene-0012_CAM_FRONT_88a090c5_20a871df,scene-0012,18.63840588521401,2.9252242844207945,1,571786,0.05477158794469261,0.041847267205525486,1.1289391959217752,72.14606475830078,2.029450624477398
scene-0012_CAM_FRONT_c51b9abd_745713b3,scene-0012,21.11726895734598,3.050091139744983,1,539847,0.06532466504270307,0.04932614339950715,1.1344273693513323,72.23704528808594,0.954134483284351
scene-0012_CAM_FRONT_d34f2eec_5254163f,scene-0012,20.72015253244413,3.031106778968632,1,505107,0.04156548144108774,0.02008139750289497,1.0594444895612511,68.84625244140625,0.981608629464247
scene-0012_CAM_FRONT_62697033_a2d86049,scene-0012,20.820342478894855,3.0359305125661735,1,448556,0.05682144288108382,0.03474106765454853,1.0895443850359738,74.19699096679688,2.169889544252367
scene-0012_CAM_FRONT_114d8a1f_b76ef036,scene-0012,22.875659890776692,3.1300734584297256,1,480835,0.06370447456410844,0.0517438270726877,1.1589558331161964,73.6856918334961,2.7189660289215776
scene-0012_CAM_FRONT_5e8e7172_56a8812e,scene-0012,23.863700851999038,3.17235851159914,1,361157,0.047584424192522956,0.053301671652767224,1.158525429907077,68.91172790527344,1.2341283111602555
scene-0012_CAM_FRONT_2e8bed7f_45a4f3c2,scene-0012,24.142269514339834,3.1839642259288174,1,481180,0.05511217201898888,0.031095320525389433,1.0905773136148944,64.69154357910156,1.1885967055543412
scene-0012_CAM_FRONT_ba3778e1_feedde26,scene-0012,20.675089178054666,3.0289295542283687,1,390931,0.04994887069353293,0.052850887220079946,1.153678312872161,69.33524322509766,2.420608935303833
scene-0013_CAM_FRONT_b9c60cfa_31815eed,scene-0013,19.62865284577724,2.9769903786169145,1,376103,0.03721872948224636,0.03393279160420121,1.0982448010720358,70.86769104003906,0.7488888303520356
scene-0013_CAM_FRONT_b2329c1f_e30a3a96,scene-0013,20.514672372855394,3.021140355640152,1,354197,0.05203729580508609,0.0398961725388596,1.1236253197263233,72.24880981445312,1.8560231809248626
scene-0013_CAM_FRONT_61361625_a32eb5c0,scene-0013,18.137944703461024,2.898006136363822,1,391978,0.03716981670959596,0.02631995706680039,1.0809355459068046,71.63436889648438,1.0548455403210615
scene-0013_CAM_FRONT_4635c393_6b506fcb,scene-0013,17.721239948830412,2.8747639172677935,1,412908,0.04007736122471006,0.01510474902856122,1.042708953773751,72.34001159667969,0.49988604699462075
scene-0013_CAM_FRONT_da5566fe_9a7dc9c8,scene-0013,19.78295410620837,2.984820663183201,1,439392,0.05654718760329458,0.03620188640808607,1.103428868470936,71.0877685546875,1.614638006711152
scene-0013_CAM_FRONT_7184209f_867689f9,scene-0013,20.747120456915923,3.032407463886143,1,382416,0.03924161964541395,0.0185455464974442,1.0542997714964968,70.91146087646484,0.6700570616443426
