clip_id,group,s_moge,log_s_moge,ok,n_valid_total,mad_log_clip,per_frame_log_scale_std,per_frame_scale_ratio_max_min,fov_x_deg_median,fov_x_deg_std
08_000000_000020_s5,08,23.97878879775108,3.1771696394726723,1,312036,0.040409302979727446,0.017436715968964175,1.04619053420059,86.95299530029297,1.4027516544792724
08_000025_000045_s5,08,18.582136140046288,2.9222006966397203,1,272001,0.038743003339576365,0.01984696125524223,1.0577141666766696,86.57510375976562,1.1016224244508581
08_000050_000070_s5,08,21.09173693254476,3.0488813492096707,1,268029,0.037505440342973984,0.022103485537007427,1.0660526753150374,86.61341094970703,0.9780797210572023
08_000075_000095_s5,08,26.351226569252372,3.271514823021732,1,268609,0.05618945524042829,0.03202036045158896,1.0992413456267296,89.46905517578125,0.8145065183684815
08_000100_000120_s5,08,28.464897495872318,3.34867166133815,1,295532,0.040786914393066365,0.04287505052902031,1.1233116684099076,90.4554443359375,1.7429020326377331
08_000125_000145_s5,08,24.756134285878566,3.209073308239466,1,333519,0.05592541117262462,0.019031421013204788,1.0530151514504764,94.50621795654297,0.7513567082734351
08_000150_000170_s5,08,24.10134211467702,3.1822675283516975,1,314103,0.04541798810321529,0.03448333036957932,1.1063052574190733,93.91056060791016,1.6262068317648124
08_000175_000195_s5,08,26.24963296979866,3.267652006836974,1,328426,0.04582075409288411,0.02697852197083498,1.081271808091801,95.68807220458984,1.6217201239986372
08_000200_000220_s5,08,25.71278701351016,3.24698841732845,1,301755,0.040435539292160705,0.015370149089157778,1.046800329996419,94.63137817382812,0.9905907896219114
08_000225_000245_s5,08,27.363484700520836,3.3092094494292623,1,301150,0.04999548131546905,0.0354057230316636,1.1010081146877797,89.94935607910156,1.2970007548686033
08_000250_000270_s5,08,21.194291151727214,3.053731860118285,1,304640,0.062560267598466,0.0460491377025344,1.1157666591894684,91.84413146972656,1.3504554416507795
08_000275_000295_s5,08,24.733310111464963,3.2081509226152276,1,307744,0.049614446272275625,0.03813460024222907,1.113145567387923,94.22190856933594,1.6079152531938368
